0.0,5000.0
0.2,3870.8643803910554
0.4,3158.266105907652
0.6,3007.305651528506
0.8,3593.477549922232
1.0,5037.722682853791
1.2,7274.4850847024245
1.4000000000000001,10069.763376937046
1.6,13187.370699038645
1.8,16474.312114747772
2.0,19847.297669399028
2.2,23262.39904399842
2.4,26695.650693711174
2.6,30133.154649213742
2.8000000000000003,33566.255083517644
3.0,36989.1516089485
3.2,40397.67766016804
3.4,43788.649643381585
3.6,47159.50588209747
3.8000000000000003,50508.09821479337
4.0,53832.56705811415
4.2,57131.263712391694
4.4,60402.700274938514
4.6000000000000005,63645.516193868476
4.8,66858.45514733726
5.0,70040.34851259502
5.2,73190.10315404054
5.4,76306.69212134533
5.6000000000000005,79389.14735832746
5.8,82436.55383786352
6.0,85448.04473932766
6.2,88422.79739458488
6.4,91360.02982818663
6.6000000000000005,94258.99776074076
6.8,97118.9919805006
7.0,99939.33601451643
7.2,102719.38404487568
7.4,105458.519048566
7.6000000000000005,108156.15108863666
7.8,110811.71578107645
8.0,113424.67288542802
8.2,115994.50501482269
8.4,118520.7164497929
8.6,121002.8320439747
8.8,123440.39621315179
9.0,125832.97199419634
9.200000000000001,128180.14019355274
9.4,130481.49855656279
9.6,132736.66103274008
9.8,134945.2570673397
10.0,137106.93094944107
10.200000000000001,139221.34120661786
10.4,141288.16002812143
10.6,143307.07273409617
10.8,145277.77727799758
11.0,147199.9837729657
11.200000000000001,149073.41405558307
11.4,150897.80127060664
11.6,152672.88948647273
11.8,154398.43335020644
12.0,156074.19769694493
12.200000000000001,157699.95728446697
12.4,159275.4964445289
12.6,160800.60884311373
12.8,162275.09717115064
13.0,163698.77292996427
13.200000000000001,165071.45616738405
13.4,166392.97528017612
13.6,167663.16678515138
13.8,168881.87514147718
14.0,170048.95255305918
14.200000000000001,171164.2588085045
14.4,172227.6611108515
14.6,173239.03393443348
14.8,174198.2588773049
15.0,175105.22453869786
15.200000000000001,175959.82639151797
15.4,176761.96666501166
15.6,177511.55424952545
15.8,178208.5045893151
16.0,178852.73960462186
16.2,179444.18759810497
16.4,179982.78318949442
16.6,180468.46724317825
16.8,180901.18681002295
17.0,181280.89507405862
17.2,181607.5513022139
17.400000000000002,181881.1208085958
